,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
HLA-DRB1,HLA-DRB1,0.000176243,-2.232098717,0.399,0.49,1,T cell
TEX30,TEX30,0.000176893,0.329015782,0.103,0.051,1,T cell
HNRNPH3,HNRNPH3,0.000181358,0.61903103,0.237,0.181,1,T cell
GCHFR,GCHFR,0.000181844,0.495314285,0.136,0.078,1,T cell
CDK11B,CDK11B,0.000182771,0.638611062,0.186,0.126,1,T cell
KDM2A,KDM2A,0.000183878,0.536639994,0.182,0.121,1,T cell
CD70,CD70,0.000184378,0.468446944,0.116,0.061,1,T cell
COMMD8,COMMD8,0.000186245,0.432614819,0.169,0.106,1,T cell
SHFM1,SHFM1,0.000199858,0.729100661,0.393,0.414,1,T cell
TMEM106C,TMEM106C,0.000205086,0.471112345,0.136,0.079,1,T cell
CDK11A,CDK11A,0.000210175,0.777829497,0.191,0.134,1,T cell
INO80D,INO80D,0.000212614,0.454991401,0.11,0.057,1,T cell
OSTF1,OSTF1,0.000214602,0.63629259,0.325,0.288,1,T cell
CLEC2B,CLEC2B,0.000215273,0.795697943,0.351,0.33,1,T cell
PRKAR2A,PRKAR2A,0.000218532,0.620062419,0.197,0.14,1,T cell
NUDT21,NUDT21,0.000220474,0.491458738,0.162,0.103,1,T cell
WDR1,WDR1,0.000220864,0.62505988,0.248,0.192,1,T cell
PPM1B,PPM1B,0.000223169,0.420122546,0.127,0.071,1,T cell
HLA-G,HLA-G,0.00023492,0.709729298,0.184,0.127,1,T cell
POLE3,POLE3,0.000237968,0.465917157,0.175,0.116,1,T cell
BDP1,BDP1,0.000254974,0.643805703,0.204,0.145,1,T cell
RAP1B,RAP1B,0.000261157,0.765755499,0.338,0.323,1,T cell
SMNDC1,SMNDC1,0.000269943,0.476423434,0.171,0.112,1,T cell
CTSB,CTSB,0.000272567,-0.705611715,0.191,0.286,1,T cell
SUZ12,SUZ12,0.000307009,0.522758634,0.132,0.077,1,T cell
SYAP1,SYAP1,0.000307931,0.718614129,0.349,0.325,1,T cell
KLF6,KLF6,0.000311025,0.554860713,0.55,0.604,1,T cell
NAP1L4,NAP1L4,0.00031427,0.76374274,0.252,0.21,1,T cell
OASL,OASL,0.000316254,0.506129776,0.129,0.075,1,T cell
GOLGA8B,GOLGA8B,0.000333445,0.458885391,0.103,0.053,1,T cell
SAP18,SAP18,0.000342406,0.669639559,0.478,0.568,1,T cell
NUP50,NUP50,0.000343618,0.407031697,0.116,0.064,1,T cell
CCL3,CCL3,0.000344748,-0.787822374,0.105,0.184,1,T cell
SRSF8,SRSF8,0.00034899,0.560067226,0.171,0.114,1,T cell
NRDC,NRDC,0.000351454,0.366620503,0.189,0.345,1,T cell
HIRIP3,HIRIP3,0.000352416,0.394589816,0.114,0.062,1,T cell
CCT5,CCT5,0.000368721,0.579196132,0.217,0.162,1,T cell
SREK1,SREK1,0.000371657,0.671258521,0.202,0.148,1,T cell
RNMT,RNMT,0.000374398,0.773296031,0.27,0.232,1,T cell
RIF1,RIF1,0.000383934,0.405030552,0.105,0.055,1,T cell
HIST1H1E,HIST1H1E,0.000385683,0.628045272,0.105,0.056,1,T cell
ARID5B,ARID5B,0.000398787,0.30554217,0.296,0.503,1,T cell
AHNAK,AHNAK,0.000400576,0.721957093,0.305,0.271,1,T cell
TOB2,TOB2,0.00041071,0.529594755,0.158,0.101,1,T cell
UQCRH,UQCRH,0.000411518,0.550376485,0.561,0.735,1,T cell
PPP4R3A,PPP4R3A,0.000412606,0.567677578,0.175,0.118,1,T cell
DDX27,DDX27,0.000412795,0.729802709,0.224,0.175,1,T cell
SRSF4,SRSF4,0.000423187,0.615223367,0.237,0.188,1,T cell
LIPA,LIPA,0.000424168,-0.409775084,0.079,0.151,1,T cell
UCP2,UCP2,0.000430225,0.517291154,0.322,0.268,1,T cell
SAFB,SAFB,0.000441332,0.530313899,0.173,0.117,1,T cell
RNF167,RNF167,0.000458362,0.569344057,0.202,0.151,1,T cell
SRSF9,SRSF9,0.000465996,0.278483904,0.195,0.349,1,T cell
RHBDD2,RHBDD2,0.000473701,0.605370892,0.162,0.108,1,T cell
RPL7L1,RPL7L1,0.000475197,0.752424567,0.239,0.192,1,T cell
UPF3B,UPF3B,0.000482276,0.393300464,0.123,0.07,1,T cell
HSPA6,HSPA6,0.000497513,2.031457572,0.434,0.43,1,T cell
ACTR2,ACTR2,0.000497581,0.609101931,0.336,0.297,1,T cell
SSRP1,SSRP1,0.000509716,0.485015928,0.16,0.105,1,T cell
RANBP2,RANBP2,0.000511996,0.564681317,0.195,0.139,1,T cell
TMC6,TMC6,0.000528491,0.533186211,0.186,0.131,1,T cell
C4orf48,C4orf48,0.000544008,0.565824768,0.204,0.152,1,T cell
C20orf24,C20orf24,0.000552168,0.26917133,0.169,0.303,1,T cell
POLR2J3,POLR2J3,0.000556579,0.771262592,0.298,0.271,1,T cell
WDR82,WDR82,0.000567754,0.31247602,0.112,0.061,1,T cell
MLLT6,MLLT6,0.000569671,0.535963728,0.145,0.091,1,T cell
RFTN1,RFTN1,0.000584526,0.34001523,0.103,0.055,1,T cell
GLIPR2,GLIPR2,0.000584657,0.488754601,0.206,0.148,1,T cell
RGCC,RGCC,0.000588824,0.86139193,0.316,0.3,1,T cell
PHF14,PHF14,0.000591026,0.599831773,0.206,0.156,1,T cell
PHACTR2,PHACTR2,0.000597125,0.356154769,0.105,0.056,1,T cell
SLC4A7,SLC4A7,0.000600579,0.447405363,0.123,0.071,1,T cell
PPP4C,PPP4C,0.000610162,0.572401345,0.276,0.236,1,T cell
ARPC4,ARPC4,0.000623551,0.566901276,0.311,0.268,1,T cell
ACAT2,ACAT2,0.000624174,0.328257882,0.103,0.055,1,T cell
JOSD1,JOSD1,0.000642145,0.566096558,0.167,0.113,1,T cell
THUMPD1,THUMPD1,0.000667993,0.480409021,0.136,0.084,1,T cell
EMC7,EMC7,0.000670101,0.309448471,0.186,0.329,1,T cell
GLUD1,GLUD1,0.000684888,0.399454901,0.129,0.077,1,T cell
TRMT10C,TRMT10C,0.000702168,0.639275522,0.186,0.134,1,T cell
TRAF1,TRAF1,0.000706293,0.328513108,0.103,0.055,1,T cell
TTC14,TTC14,0.000745623,0.498007129,0.184,0.13,1,T cell
MT1E,MT1E,0.000749281,0.585207133,0.296,0.245,1,T cell
KCNAB2,KCNAB2,0.000757076,0.357544396,0.112,0.062,1,T cell
POLR2K,POLR2K,0.000761443,0.764168882,0.355,0.37,1,T cell
ITGAE,ITGAE,0.000766186,0.538324741,0.193,0.142,1,T cell
NDUFC2,NDUFC2,0.000771725,0.255256279,0.305,0.542,1,T cell
CNOT1,CNOT1,0.000781847,0.401523989,0.103,0.056,1,T cell
SNRNP200,SNRNP200,0.000791195,0.465315213,0.14,0.088,1,T cell
VPS37B,VPS37B,0.000799326,0.67957125,0.226,0.179,1,T cell
CELF1,CELF1,0.000801078,0.458301052,0.169,0.113,1,T cell
CDC40,CDC40,0.000840648,0.430352196,0.149,0.096,1,T cell
POLR3E,POLR3E,0.000870942,0.408577039,0.105,0.058,1,T cell
NFATC3,NFATC3,0.000874284,0.355573362,0.103,0.056,1,T cell
ZNF800,ZNF800,0.000889901,0.449541931,0.125,0.075,1,T cell
BSG,BSG,0.00089315,0.2944504,0.311,0.558,1,T cell
RBM14,RBM14,0.000896129,0.329468795,0.114,0.065,1,T cell
EIF3A,EIF3A,0.000923129,0.863511235,0.408,0.468,1,T cell
MRPL33,MRPL33,0.0009293,0.593305303,0.294,0.266,1,T cell
SKA2,SKA2,0.00094158,0.461026046,0.147,0.096,1,T cell
UQCR10,UQCR10,0.000941911,0.693367905,0.461,0.542,1,T cell
PFDN2,PFDN2,0.000958437,0.545425797,0.285,0.248,1,T cell
STK10,STK10,0.000990078,0.462097405,0.147,0.095,1,T cell
DBI,DBI,0.000991874,0.44520528,0.447,0.44,1,T cell
BAG3,BAG3,0.000999301,1.322738612,0.325,0.3,1,T cell
CASP4,CASP4,0.001002983,0.700212593,0.276,0.244,1,T cell
CCT2,CCT2,0.001004734,0.655235375,0.25,0.209,1,T cell
PTBP3,PTBP3,0.001026631,0.449285582,0.154,0.101,1,T cell
CAMLG,CAMLG,0.001039192,0.58142554,0.224,0.175,1,T cell
NONO,NONO,0.00109127,0.620575439,0.27,0.238,1,T cell
TMOD3,TMOD3,0.001112781,0.496872501,0.173,0.119,1,T cell
GADD45B,GADD45B,0.001116365,0.590077182,0.524,0.571,1,T cell
PPP6R1,PPP6R1,0.001122842,0.330643256,0.112,0.064,1,T cell
FAM126B,FAM126B,0.001145038,0.48219888,0.125,0.077,1,T cell
ZMAT2,ZMAT2,0.001149714,0.652747981,0.248,0.209,1,T cell
DGUOK,DGUOK,0.00115784,0.632365341,0.248,0.212,1,T cell
PSMA3-AS1,PSMA3-AS1,0.001166258,0.63195826,0.221,0.177,1,T cell
SPTBN1,SPTBN1,0.001192885,0.381054601,0.101,0.056,1,T cell
HPRT1,HPRT1,0.001195148,0.360495048,0.156,0.103,1,T cell
NUP58,NUP58,0.001198785,0.410224165,0.127,0.078,1,T cell
AQP3,AQP3,0.001204557,0.620739886,0.162,0.116,1,T cell
CWF19L2,CWF19L2,0.001205925,0.729593381,0.189,0.142,1,T cell
ZFP36,ZFP36,0.001247897,0.615987082,0.594,0.691,1,T cell
PBDC1,PBDC1,0.0012536,0.402049742,0.132,0.082,1,T cell
PBRM1,PBRM1,0.001274935,0.468951987,0.154,0.104,1,T cell
CCDC69,CCDC69,0.00128459,0.307171133,0.14,0.249,1,T cell
RBX1,RBX1,0.00129761,0.691872329,0.384,0.409,1,T cell
SAFB2,SAFB2,0.001302523,0.647829834,0.228,0.187,1,T cell
RGS10,RGS10,0.001322101,0.327186972,0.318,0.253,1,T cell
TMED5,TMED5,0.001322548,0.252886534,0.125,0.223,1,T cell
G3BP2,G3BP2,0.001350526,0.802859965,0.296,0.278,1,T cell
CMC2,CMC2,0.001358951,0.550812972,0.193,0.147,1,T cell
MAF1,MAF1,0.001360426,0.536445253,0.213,0.168,1,T cell
CCAR1,CCAR1,0.001404173,0.576792704,0.169,0.119,1,T cell
KMT2A,KMT2A,0.001434141,0.651291529,0.189,0.143,1,T cell
XRN1,XRN1,0.001436703,0.336415007,0.136,0.24,1,T cell
YTHDC2,YTHDC2,0.001474245,0.328898765,0.105,0.06,1,T cell
CREBBP,CREBBP,0.001489847,0.491285593,0.136,0.088,1,T cell
ELMO1,ELMO1,0.001492536,0.600938099,0.189,0.142,1,T cell
NLRP1,NLRP1,0.001526427,0.424610547,0.101,0.057,1,T cell
DNAJB14,DNAJB14,0.001547921,0.531225382,0.18,0.131,1,T cell
AHI1,AHI1,0.00158586,0.567986625,0.151,0.104,1,T cell
BAZ1B,BAZ1B,0.00159369,0.497682996,0.143,0.095,1,T cell
ELMSAN1,ELMSAN1,0.001598403,0.392455608,0.118,0.071,1,T cell
CTD-3252C9.4,CTD-3252C9.4,0.001598799,0.657253361,0.175,0.127,1,T cell
NACA2,NACA2,0.001603474,0.615275984,0.226,0.186,1,T cell
UBTF,UBTF,0.001607523,0.400419414,0.125,0.078,1,T cell
EIF3D,EIF3D,0.001618422,0.602562167,0.338,0.329,1,T cell
NUDT1,NUDT1,0.001619245,0.368303492,0.147,0.096,1,T cell
CBX1,CBX1,0.001620385,0.333680296,0.105,0.06,1,T cell
FAM49B,FAM49B,0.00163733,0.438802612,0.379,0.348,1,T cell
DTYMK,DTYMK,0.001640414,0.436107633,0.138,0.091,1,T cell
FAM118A,FAM118A,0.00165984,0.414029184,0.147,0.097,1,T cell
NIP7,NIP7,0.001679363,0.372176253,0.114,0.069,1,T cell
HERC4,HERC4,0.001702075,0.517341056,0.134,0.087,1,T cell
SP140L,SP140L,0.001769064,0.53183906,0.154,0.106,1,T cell
MAPRE2,MAPRE2,0.001777295,0.397102371,0.134,0.084,1,T cell
NKRF,NKRF,0.001789535,0.409860085,0.101,0.057,1,T cell
PPP1R15A,PPP1R15A,0.001793523,0.936273566,0.638,0.826,1,T cell
SF3A3,SF3A3,0.001813099,0.477256646,0.138,0.091,1,T cell
THRAP3,THRAP3,0.001827962,0.695744041,0.316,0.31,1,T cell
PNN,PNN,0.001829027,0.715239591,0.292,0.27,1,T cell
ZNF644,ZNF644,0.001837663,0.560102382,0.169,0.122,1,T cell
SF3B6,SF3B6,0.001850741,0.689919255,0.346,0.362,1,T cell
NAMPT,NAMPT,0.001867827,-0.251346958,0.232,0.335,1,T cell
APOL3,APOL3,0.001877962,0.41139973,0.136,0.088,1,T cell
PARP1,PARP1,0.001879756,0.679259933,0.316,0.312,1,T cell
CSNK1D,CSNK1D,0.001885867,0.574246383,0.189,0.143,1,T cell
IFI27L2,IFI27L2,0.001917613,0.74072413,0.34,0.352,1,T cell
BHLHE40,BHLHE40,0.001919277,0.508837181,0.173,0.123,1,T cell
THYN1,THYN1,0.001932068,0.423697201,0.136,0.09,1,T cell
TACC1,TACC1,0.001997149,0.475153408,0.193,0.143,1,T cell
TDG,TDG,0.002002944,0.525423539,0.171,0.125,1,T cell
PUM3,PUM3,0.002020158,0.500284677,0.121,0.075,1,T cell
GTF2H5,GTF2H5,0.002039216,0.508146735,0.213,0.168,1,T cell
NHP2,NHP2,0.00205586,0.513019949,0.259,0.222,1,T cell
NUB1,NUB1,0.002087261,0.433216586,0.112,0.068,1,T cell
ARF5,ARF5,0.002184598,0.407236213,0.16,0.11,1,T cell
SMARCA5,SMARCA5,0.002213062,0.7111137,0.228,0.192,1,T cell
PPIG,PPIG,0.002230172,0.677063095,0.34,0.342,1,T cell
TRIM33,TRIM33,0.002267479,0.386534464,0.127,0.081,1,T cell
RPA2,RPA2,0.002302052,0.431908075,0.154,0.106,1,T cell
SSBP1,SSBP1,0.002311241,0.737207961,0.305,0.294,1,T cell
ACIN1,ACIN1,0.002314383,0.569235483,0.191,0.148,1,T cell
DENR,DENR,0.002315085,0.504013495,0.164,0.118,1,T cell
CIRBP,CIRBP,0.002334947,0.465702299,0.583,0.806,1,T cell
THOC3,THOC3,0.00237605,0.352378536,0.105,0.062,1,T cell
TOMM5,TOMM5,0.002390368,0.412088311,0.118,0.074,1,T cell
FXR1,FXR1,0.002410132,0.628683585,0.211,0.17,1,T cell
PRPF4B,PRPF4B,0.002431471,0.866129209,0.3,0.296,1,T cell
RTF1,RTF1,0.002439789,0.789728009,0.318,0.318,1,T cell
MFNG,MFNG,0.002442026,0.390319953,0.132,0.086,1,T cell
PSMA5,PSMA5,0.002442419,0.598908792,0.257,0.229,1,T cell
ARPP19,ARPP19,0.002502286,0.630716725,0.235,0.2,1,T cell
WDR54,WDR54,0.002508716,0.354375709,0.11,0.066,1,T cell
BAX,BAX,0.002573108,0.695691751,0.307,0.291,1,T cell
NCOR1,NCOR1,0.00258706,0.6882765,0.274,0.251,1,T cell
POLR3GL,POLR3GL,0.002588229,0.549488402,0.186,0.142,1,T cell
MPHOSPH8,MPHOSPH8,0.002597256,0.776949515,0.318,0.321,1,T cell
CD164,CD164,0.002611411,0.684502722,0.355,0.378,1,T cell
NDUFAF3,NDUFAF3,0.002637187,0.25313996,0.257,0.432,1,T cell
ATG12,ATG12,0.002649374,0.540453394,0.186,0.142,1,T cell
SZRD1,SZRD1,0.002653683,0.36299541,0.145,0.097,1,T cell
DDX39B,DDX39B,0.002713214,0.425388114,0.116,0.073,1,T cell
ATF7IP,ATF7IP,0.002723746,0.580319745,0.195,0.152,1,T cell
GSPT1,GSPT1,0.002778515,0.70282927,0.224,0.187,1,T cell
ABCF1,ABCF1,0.002822047,0.70994716,0.252,0.226,1,T cell
AKAP13,AKAP13,0.002847785,0.748326836,0.355,0.364,1,T cell
DNAJC8,DNAJC8,0.00288409,0.718467017,0.331,0.334,1,T cell
LSM6,LSM6,0.002887766,0.432963558,0.221,0.177,1,T cell
SF3B4,SF3B4,0.002908029,0.317774912,0.116,0.071,1,T cell
CHMP1B,CHMP1B,0.002945938,-0.517780188,0.221,0.316,1,T cell
DEDD2,DEDD2,0.003018803,0.71381156,0.272,0.256,1,T cell
ZC3H13,ZC3H13,0.003164433,0.595840682,0.246,0.212,1,T cell
ISG15,ISG15,0.003217702,0.620458795,0.412,0.421,1,T cell
STAG2,STAG2,0.003257422,0.579410598,0.206,0.165,1,T cell
GLOD4,GLOD4,0.003278042,0.398165224,0.132,0.087,1,T cell
SNRPA1,SNRPA1,0.003292114,0.463666379,0.164,0.121,1,T cell
SIRT7,SIRT7,0.003413075,0.347668233,0.11,0.068,1,T cell
HINT2,HINT2,0.0034282,0.296014545,0.169,0.284,1,T cell
STAT6,STAT6,0.003450033,0.332402907,0.116,0.071,1,T cell
PPIH,PPIH,0.003455386,0.355818112,0.11,0.068,1,T cell
GOLGA4,GOLGA4,0.003487459,0.427121087,0.171,0.291,1,T cell
GABPB1-AS1,GABPB1-AS1,0.003536526,0.617106749,0.197,0.156,1,T cell
RIC8A,RIC8A,0.00356231,0.428977399,0.129,0.087,1,T cell
HP1BP3,HP1BP3,0.003587269,0.89696018,0.329,0.345,1,T cell
G3BP1,G3BP1,0.003660983,0.553146927,0.217,0.178,1,T cell
RAB2A,RAB2A,0.003669561,0.28922085,0.283,0.474,1,T cell
NHSL2,NHSL2,0.003672141,0.656612525,0.331,0.338,1,T cell
FABP5,FABP5,0.003693117,0.642271408,0.274,0.239,1,T cell
DCP2,DCP2,0.00369972,0.413924894,0.151,0.105,1,T cell
HCG18,HCG18,0.003712997,0.628137149,0.145,0.103,1,T cell
RNF115,RNF115,0.003740859,0.560111961,0.156,0.113,1,T cell
DCXR,DCXR,0.003762787,0.280038145,0.186,0.312,1,T cell
ATP1B3,ATP1B3,0.003766769,0.495422667,0.414,0.405,1,T cell
ATP5I,ATP5I,0.003782248,0.638701976,0.408,0.468,1,T cell
CHD4,CHD4,0.003806468,0.617004297,0.23,0.197,1,T cell
SLC25A3,SLC25A3,0.003814276,0.575292654,0.48,0.568,1,T cell
TBCC,TBCC,0.003923132,0.459258798,0.136,0.094,1,T cell
ADH5,ADH5,0.003964284,0.430244546,0.145,0.101,1,T cell
CGGBP1,CGGBP1,0.003973313,0.485237272,0.189,0.147,1,T cell
NIN,NIN,0.003997358,0.3594051,0.127,0.083,1,T cell
VPS4B,VPS4B,0.004004903,0.485980317,0.164,0.121,1,T cell
NDUFB7,NDUFB7,0.004046695,0.282047999,0.32,0.553,1,T cell
CDC42SE1,CDC42SE1,0.004048209,0.580694236,0.23,0.191,1,T cell
FAM200B,FAM200B,0.004202244,0.346484676,0.103,0.062,1,T cell
ITGB7,ITGB7,0.00422572,0.64542791,0.195,0.16,1,T cell
HMGXB4,HMGXB4,0.00423504,0.358685768,0.121,0.078,1,T cell
UBR1,UBR1,0.004261165,0.381796907,0.105,0.065,1,T cell
GNAI3,GNAI3,0.004267099,0.517759911,0.259,0.226,1,T cell
ROMO1,ROMO1,0.004332564,0.600729841,0.276,0.255,1,T cell
SMC1A,SMC1A,0.004344539,0.617490105,0.18,0.139,1,T cell
ZC3H18,ZC3H18,0.004394987,0.422048643,0.127,0.084,1,T cell
ERAP2,ERAP2,0.004415903,0.414527949,0.134,0.091,1,T cell
GYG1,GYG1,0.004427697,0.480165264,0.164,0.122,1,T cell
RSL1D1,RSL1D1,0.004447566,0.639594411,0.34,0.351,1,T cell
HSPB1,HSPB1,0.004453386,0.716466966,0.671,0.774,1,T cell
EVI2A,EVI2A,0.004524748,0.578389954,0.246,0.213,1,T cell
ARL6IP1,ARL6IP1,0.004602013,0.825820265,0.3,0.29,1,T cell
UBA2,UBA2,0.004656875,0.4637216,0.156,0.114,1,T cell
TNIP2,TNIP2,0.004680158,0.318161064,0.121,0.078,1,T cell
FIP1L1,FIP1L1,0.004738971,0.450094504,0.156,0.113,1,T cell
EIF3M,EIF3M,0.00477975,0.579371502,0.305,0.287,1,T cell
ZMYM2,ZMYM2,0.004820133,0.467018811,0.156,0.113,1,T cell
CAND1,CAND1,0.004843419,0.543974819,0.147,0.105,1,T cell
ADSL,ADSL,0.004905116,0.303264772,0.118,0.077,1,T cell
BLOC1S2,BLOC1S2,0.004925568,0.494798975,0.195,0.155,1,T cell
FAM133B,FAM133B,0.004987408,0.802498145,0.39,0.435,1,T cell
PREX1,PREX1,0.005101645,0.329255599,0.121,0.078,1,T cell
NMI,NMI,0.005176443,0.31005915,0.11,0.069,1,T cell
GON4L,GON4L,0.005210714,0.445299062,0.136,0.095,1,T cell
EPS15,EPS15,0.005228852,0.503789542,0.167,0.126,1,T cell
BCL7B,BCL7B,0.005252639,0.376137436,0.116,0.075,1,T cell
OTUD6B-AS1,OTUD6B-AS1,0.005316669,0.299036607,0.129,0.219,1,T cell
MAP2K1,MAP2K1,0.00533324,0.383421679,0.151,0.109,1,T cell
TANK,TANK,0.005387805,0.661322734,0.303,0.292,1,T cell
AIDA,AIDA,0.005437733,0.389863838,0.136,0.095,1,T cell
CDC25B,CDC25B,0.005460846,0.360519275,0.101,0.062,1,T cell
CUTA,CUTA,0.005484177,0.291785053,0.39,0.69,1,T cell
PSMB3,PSMB3,0.005508403,0.686205962,0.39,0.436,1,T cell
SH3GLB1,SH3GLB1,0.005529918,0.290673356,0.213,0.348,1,T cell
SMAD2,SMAD2,0.005542852,0.459678248,0.151,0.11,1,T cell
DOCK10,DOCK10,0.005568387,0.447613484,0.123,0.082,1,T cell
TAGAP,TAGAP,0.005685695,0.338441888,0.219,0.365,1,T cell
CAPN2,CAPN2,0.005709042,0.487315968,0.178,0.138,1,T cell
ATF7IP2,ATF7IP2,0.005752448,0.494294052,0.167,0.126,1,T cell
SLC9A3R1,SLC9A3R1,0.005820225,0.419128884,0.16,0.119,1,T cell
IRAK4,IRAK4,0.005871891,0.370812032,0.107,0.069,1,T cell
APMAP,APMAP,0.005926279,0.475599413,0.16,0.119,1,T cell
FRYL,FRYL,0.006025644,0.457993992,0.123,0.083,1,T cell
TBCA,TBCA,0.006063195,0.596662427,0.379,0.416,1,T cell
ZYX,ZYX,0.006096456,0.385096298,0.16,0.117,1,T cell
HMOX2,HMOX2,0.006139614,0.513266949,0.156,0.116,1,T cell
EBP,EBP,0.006186124,0.557232334,0.18,0.144,1,T cell
UBAC2,UBAC2,0.006257138,0.362508145,0.123,0.082,1,T cell
AIP,AIP,0.006374987,0.529303435,0.213,0.178,1,T cell
TMX4,TMX4,0.006385873,0.446106679,0.162,0.121,1,T cell
C1orf56,C1orf56,0.006615945,0.467805434,0.151,0.108,1,T cell
DAZAP1,DAZAP1,0.006617268,0.371654507,0.116,0.077,1,T cell
PDS5A,PDS5A,0.006815584,0.347449616,0.114,0.074,1,T cell
JADE1,JADE1,0.006959721,0.389696592,0.101,0.064,1,T cell
LARP7,LARP7,0.006972671,0.551212813,0.193,0.156,1,T cell
GNAI2,GNAI2,0.006989243,0.531001343,0.289,0.266,1,T cell
HNRNPAB,HNRNPAB,0.007019815,0.762991229,0.243,0.223,1,T cell
GNB5,GNB5,0.007043843,0.304430814,0.101,0.062,1,T cell
TUFM,TUFM,0.007151894,0.276431147,0.294,0.491,1,T cell
GOLGB1,GOLGB1,0.007223329,0.457600912,0.191,0.314,1,T cell
SPEN,SPEN,0.007300316,0.416917629,0.116,0.078,1,T cell
NCKAP1L,NCKAP1L,0.007378633,0.459546093,0.171,0.132,1,T cell
PPID,PPID,0.007387297,0.427901726,0.147,0.106,1,T cell
ATXN2,ATXN2,0.007457911,0.419449653,0.114,0.075,1,T cell
USP34,USP34,0.007510629,0.585763845,0.191,0.156,1,T cell
LRCH4,LRCH4,0.007743364,0.390768223,0.125,0.087,1,T cell
YWHAH,YWHAH,0.007809815,0.38403268,0.156,0.114,1,T cell
TRAPPC4,TRAPPC4,0.007851734,0.331743503,0.116,0.078,1,T cell
IRS2,IRS2,0.008029495,0.366340698,0.121,0.081,1,T cell
PSMB10,PSMB10,0.008051525,0.484013042,0.162,0.125,1,T cell
OFD1,OFD1,0.008518894,0.512274004,0.175,0.139,1,T cell
C14orf2,C14orf2,0.008573402,0.513131701,0.5,0.617,1,T cell
NUDT5,NUDT5,0.008653575,0.484472165,0.175,0.139,1,T cell
CDC5L,CDC5L,0.008668757,0.49057356,0.149,0.11,1,T cell
LINC00116,LINC00116,0.008795686,0.359336944,0.145,0.105,1,T cell
LRP10,LRP10,0.008796506,0.252775862,0.134,0.221,1,T cell
PRPF40A,PRPF40A,0.009010468,0.600180078,0.252,0.232,1,T cell
MRPS34,MRPS34,0.009051806,0.293565311,0.213,0.345,1,T cell
C5orf24,C5orf24,0.009093536,0.336026116,0.107,0.07,1,T cell
LDLRAD4,LDLRAD4,0.009152077,0.284483225,0.116,0.077,1,T cell
ARHGAP4,ARHGAP4,0.009173138,0.384395074,0.138,0.099,1,T cell
SMARCC2,SMARCC2,0.009200176,0.461508314,0.134,0.096,1,T cell
NXT1,NXT1,0.009239237,0.488789042,0.173,0.136,1,T cell
PDS5B,PDS5B,0.009245438,0.373332195,0.112,0.074,1,T cell
WAS,WAS,0.00931822,0.499445964,0.219,0.188,1,T cell
UBR5,UBR5,0.009367361,0.336028295,0.116,0.078,1,T cell
MRPL9,MRPL9,0.009502279,0.397259777,0.151,0.113,1,T cell
TTC19,TTC19,0.009513265,0.578334716,0.186,0.152,1,T cell
AURKAIP1,AURKAIP1,0.009533313,0.281988178,0.325,0.553,1,T cell
BRK1,BRK1,0.009635501,0.440336031,0.439,0.474,1,T cell
IVNS1ABP,IVNS1ABP,0.009650197,0.434674732,0.158,0.118,1,T cell
ATP6V1G1,ATP6V1G1,0.009663908,0.510553416,0.511,0.645,1,T cell
U2AF2,U2AF2,0.009722357,0.35562085,0.125,0.087,1,T cell
SLC3A2,SLC3A2,0.009865244,0.332085516,0.252,0.406,1,T cell
NSMCE3,NSMCE3,0.009973206,0.387661444,0.103,0.068,1,T cell
MZB1.1,MZB1,3.48E-224,3.430731145,1,0.092,6.65E-220,B cell
IGHG2.1,IGHG2,4.06E-224,5.30986131,0.989,0.086,7.75E-220,B cell
IGHGP.1,IGHGP,2.89E-218,7.528132874,0.989,0.14,5.52E-214,B cell
IGHG1.1,IGHG1,2.41E-212,6.775730549,0.993,0.217,4.60E-208,B cell
IGHG3.1,IGHG3,1.76E-205,7.763476887,0.998,0.355,3.36E-201,B cell
IGHG4.1,IGHG4,6.61E-205,6.105588273,0.994,0.319,1.26E-200,B cell
JCHAIN.1,JCHAIN,4.40E-203,5.703610611,0.987,0.125,8.41E-199,B cell
SSR4.1,SSR4,1.48E-199,2.942347565,1,0.675,2.83E-195,B cell
TMSB4X.1,TMSB4X,1.69E-198,-4.321257358,0.989,1,3.24E-194,B cell
TMSB10.1,TMSB10,2.77E-196,-4.158411302,0.861,0.997,5.29E-192,B cell
DERL3.1,DERL3,6.18E-193,1.922055865,0.881,0.013,1.18E-188,B cell
IGKC.1,IGKC,7.77E-192,7.410072584,0.996,0.472,1.48E-187,B cell
RPL28.1,RPL28,2.75E-191,-2.96971972,0.972,0.994,5.25E-187,B cell
RPLP2.1,RPLP2,3.93E-191,-2.804958603,0.991,1,7.51E-187,B cell
ACTB.1,ACTB,5.92E-188,-3.828234231,0.918,0.996,1.13E-183,B cell
RPL32.1,RPL32,8.60E-188,-2.604168403,0.993,0.997,1.64E-183,B cell
RPS15.1,RPS15,4.72E-187,-2.252791473,0.993,0.999,9.02E-183,B cell
RPS12.1,RPS12,8.64E-186,-2.55950674,0.993,0.996,1.65E-181,B cell
PTMA.1,PTMA,1.58E-185,-2.606146595,0.996,1,3.02E-181,B cell
RPL37.1,RPL37,1.69E-185,-2.786362662,0.952,0.991,3.22E-181,B cell
RPS15A.1,RPS15A,3.97E-185,-2.352360054,0.994,0.997,7.59E-181,B cell
RPL39.1,RPL39,5.14E-185,-2.930039251,0.967,0.996,9.82E-181,B cell
